No,Study Action Number,Study Name,Facility,Project Phase,Cause,Consequence,Safeguard,Initial Risk,Recommendations,Residual Risk,Organisations,Discipline,Sub-Discipline,Future Actions,Due Date,Guideword,Queseries,Deviation
132,CONCEPT-DLA/DRT-HZD-006,NMB Phase 4A Concept Definition - HAZID Report,DLA-TRC,CONCEPTUAL,SIPROD - Leakage of mud return line.,Release of mud to environment leading to marine pollution. Potentially clogging open drain points due to mud accumulation.,"Rig shaker is located on the rig which is provided with coaming.
No equipment with significant mud inventory located on the platform.",1C,Confirm means to protect/ seal off drain points on Main Deck from potential mud accumulation during drilling phase.,1C,PRW,Structural FEED,Structural,,30/7/2021,Toxic Solid,,22.08. Oil based muds
133,CONCEPT-KGA-HZP-001,NMB Phase 4A Concept Definition - HAZOP Report,KGA,CONCEPTUAL,001-XV-014 inadvertently opened during production,Partial production loss from 1 well.,Position indication of 001-XV-014,A,Develop SOP to include this details and functionality of 001-XV-014 (typical for all wells),-,PRW,Process FEED,Process,,15/10/2021,Flow,,No / Less
134,CONCEPT-KGA-HZP-003,NMB Phase 4A Concept Definition - HAZOP Report,KGA,CONCEPTUAL,001-HIC-014 inadvertently opened before completing well warm up.,"Potential hydrate formation due to low temperature. Potential damage of choke valve, leading to production deferment from 1 well.",-,A,Develop a specific SOP related to operation of well warm-up (prior to opening choke valves),-,PRW,Process FEED,Process,,15/10/2021,Flow,,Reverse /Misdirected
135,CONCEPT-KGA-HZP-005,NMB Phase 4A Concept Definition - HAZOP Report,KGA,CONCEPTUAL,001-HIC-014 inadvertently opened before completing well warm up.,"Potential hydrate formation due to low temperature. Potential damage of choke valve, leading to production deferment from 1 well.",-,A,Choke valve to be designed taking into consideration hydrate formation and potential damage due to hydrate.,-,PRW,Instrument FEED,Instrument,,15/10/2021,Flow,,Reverse /Misdirected
136,CONCEPT-KGA-HZP-007,NMB Phase 4A Concept Definition - HAZOP Report,KGA,CONCEPTUAL,Presence of mercury in well fluid,Potential presence of mercury in GEG exhaust. Potential exposure to personnel leading to acute and chronic health impact,GEG exhaust location as per preliminary exhaust dispersion study conducted in feasibility study ,4B,Ensure GEG specifications during detailed design is in line with the design parameters from the exhaust dispersion study conducted in feasibility study ,4A,PRW,EHS FEED,EHS-KGA,,15/7/2021,Contamination,,Other than
137,CONCEPT-KGA-HZP-008,NMB Phase 4A Concept Definition - HAZOP Report,KGA,CONCEPTUAL,Introduction of hydrocarbon into the topside process system and pipeline during cold start-up or after topside depressurisation ,Potential impact to pipeline integrity leading to loss of hydrocarbon containment. Potential fire if ignited leading to personnel impact. Note that the pipeline Minimum Design Metal Temperature (MDMT) is -20 °C,Well warm-up facility/ arrangement,5B,Investigate means to have a controlled start-up from wellhead taking into account the low temperature well fluids from reservoir (assuming worst case depressurising from CITHP) during cold start-up or after topside depressurisation which could potentially give impact to pipeline integrity (MDMT of -20 °C).,5B,PRW,Process FEED,Process,,9/7/2021,Start up/Operations / Maintenance,,Other than
138,CONCEPT-KGA-HZP-011,NMB Phase 4A Concept Definition - HAZOP Report,KGA,CONCEPTUAL,Fuel Gas Filter Coalescer 24076-V-01A blocked,"Potential wax formation in the filter coalescer, leading to blocked element. Potential overpressure, leading to potential loss of HC containment. If ignited, potential multiple fatalities and asset damage",Heat tracing provided on the exterior of the vessel and on the condensate lines,5A,Ensure that the lowest temperature in the FG system does not drop below the maximum WAT.,4A,PRW,Process FEED,Process,,15/7/2021,Flow,,No / Less
139,CONCEPT-KGA-HZP-012,NMB Phase 4A Concept Definition - HAZOP Report,KGA,CONCEPTUAL,Fuel Gas Filter Coalescer 24076-V-01A blocked,"Potential wax formation in the filter coalescer, leading to blocked element. Potential overpressure, leading to potential loss of HC containment. If ignited, potential multiple fatalities and asset damage",Heat tracing provided on the exterior of the vessel and on the condensate lines,5A,Ensure 076-PSV-221/231 sizing consideration includes potential overpressure due to blocked discharge scenario.,4A,PRW,Process FEED,Process,,30/7/2021,Flow,,No / Less
140,CONCEPT-KGA-HZP-016,NMB Phase 4A Concept Definition - HAZOP Report,KGA,CONCEPTUAL,001-XV-AB inadvertently opened during production,"Potential overfilling of the drain drum leading to potential overpressure, leading to possible loss of HC containment. If ignited, potential multiple fatalities.",Position indication of 001-XV-AB,5B,Review priority of high level alarm for LP Vent/ Closed Drain Drum (24078-LICAH-122) to be set as High as there is no High High Trip provided for the LP Vent/ Closed Drain Drum.,5B,PRW,Instrument,Instrument,,9/7/2021,Level,,More
141,CONCEPT-KGA-HZP-018,NMB Phase 4A Concept Definition - HAZOP Report,KGA,CONCEPTUAL,"2"" manual valve on diesel supply line from tote tank inadvertently closed during diesel loading operation",Potential inability to supply diesel to Diesel Storage Tank (24090-T-01) causing inconvenience,Diesel transfer is a manned operation carried out by competent personnel with both tote tank and Diesel Storage Tank located on the same deck (Main Deck).,-,Develop diesel storage tank filling procedure at the next phase of the project.,-,PRW,Process FEED,Process,,16/10/2021,Flow,,No / Less
142,CONCEPT-KGA-HZP-020,NMB Phase 4A Concept Definition - HAZOP Report,KGA,CONCEPTUAL,Blocked flame arrestor on vent line,"Unable to safely depressurise the topside leading to potential escalation in the event of fire, resulting in multiple fatalities.",Rupture disc provided in parallel to flame arrestor set at 10.3 barg,5B,A detailed HAZOP to be carried out in the next phase of the project and include lessons learned from the Phase 2 SIPROD skid operations.,5B,SFSB,EHS FEED,EHS,,26/8/2021,Flow,,No / Less
143,CONCEPT-KGA-HZP-024,NMB Phase 4A Concept Definition - HAZOP Report,KGA,CONCEPTUAL,Insufficient methanol in methanol tote tank (24017-PT-03),Loss of suction to Methanol Injection Pump leading to pump cavitations resulting in pump damage requiring repair and reinstatement.,"1. 017-PG-130 at pump discharge will give local indication of pump discharge pressure. Note: Not applicable for remote operation
2. 017-PIT-150 at pump discharge will give indication of pressure discharge
3. 017-FZALL-130 downstream of methanol injection pump which will trip the pump. ",A,Develop a SOP for methanol injection during start-up ,-,PRW,Process FEED,Process,,16/10/2021,Flow,,No / Less
144,CONCEPT-DLA/DRT-HZP-001,NMB Phase 4A Concept Definition - HAZOP Report,DLA-TRC,CONCEPTUAL,Manual valve 001-AB on well warm up line inadvertently left open after start-up.,"Excessive liquid build-up at the stand-pipe leading to release of hydrocarbon liquids via open vent. If ignited, potential pool fire scenario leading to personnel injuries/ fatality.","1. Well warm-up is a manned operation
2. RO'B' limits flow into the vent system",4B,Review the requirement and necessary arrangement for well  warm-up facility/ arrangement. ,4B,PRW,Process FEED,Process,,17/10/2021,Flow,,No / Less
145,CONCEPT-DLA/DRT-HZP-002,NMB Phase 4A Concept Definition - HAZOP Report,DLA-TRC,CONCEPTUAL,001-HCV-C inadvertently opened before completing well warm up.,"Potential hydrate formation due to low temperature. Potential damage of choke valve, leading to production deferment from 1 well.",-,A,Develop SOP related to operation of well warm-up ,-,PRW,Process FEED,Process,,17/10/2021,Flow,,Reverse /Misdirected
146,CONCEPT-DLA/DRT-HZP-004,NMB Phase 4A Concept Definition - HAZOP Report,DLA-TRC,CONCEPTUAL,001-HCV-C inadvertently opened before completing well warm up.,"Potential hydrate formation due to low temperature. Potential damage of choke valve, leading to production deferment from 1 well.",-,A,Ensure that choke valve design to takes into consideration potential damage from  hydrate formation.,-,PRW,Instrument FEED,Instrument,,17/10/2021,Flow,,Reverse /Misdirected
147,CONCEPT-DLA/DRT-HZP-005,NMB Phase 4A Concept Definition - HAZOP Report,DLA-TRC,CONCEPTUAL,"Introduction of hydrocarbon into the topside process system and pipeline during cold start-up or after topside depressurisation (potentially -38 degC, considering flexible pipeline pressure at 16barg)","Potential impact to flexible pipeline integrity leading to loss of hydrocarbon containment. Potential fire if ignited leading to personnel impact.

Note that the pipeline and topside Minimum Design Metal Temperature (MDMT) is -20 °C and - 50degC respectively.","Choke valve cycling as part of the start-up philosophy

Note: Actual SOP related to Phase 4 well start-up is currently not in place.",5B,"Develop well start-up procedure for Phase 4, taking into consideration, among others, the minimum temperature experienced at start-up could be below the pipeline design  temperature.",5A,PRW,Process FEED,Process,,17/10/2021,Start up/Operations / Maintenance,,Other than
148,CONCEPT-DLA/DRT-HZP-006,NMB Phase 4A Concept Definition - HAZOP Report,DLA-TRC,CONCEPTUAL,Presence of mercury in vent line,Potential exposure to personnel during blowdown/ well-warm up  leading to acute and chronic health impact,Vent tip routed to safe location,3B,"Conduct Vent Dispersion study to determine safe vent termination location considering the hazards of flammable gas, radiation and toxic gases (mercury, BTEX, h2s, etc). ",3A,PRW,EHS FEED,EHS-DLA/TRT,,9/7/2021,Contamination,,Other than
149,CONCEPT-DLA/DRT-HZP-007,NMB Phase 4A Concept Definition - HAZOP Report,DLA-TRC,CONCEPTUAL,Over filling during draining of liquid to portable drain tote tank.,Potential spill over to deck/sea leading to environmental impact.,"Operating procedures based on level gauge provided on portable drain tote tank.
",1C,Review and update OPS procedures with regards to potential wax formation in the open drain tote tank and means of handling. To develop a specific procedure if required.,1C,PRW,Process FEED,Process,,17/10/2021,Level,,More
150,CONCEPT-DLA/DRT-HZP-G2,NMB Phase 4A Concept Definition - HAZOP Report,DLA-TRC,CONCEPTUAL,Leak/rupture of production manifold,"Release of HC gas and liquid to atmosphere resulting in formation of flammable gas cloud and environmental impact, potential fire/explosion event resulting in multiple personnel injury/fatality and asset damage.","1. 001-PIAL-110 low pressure alarm
2. 001-PZALL-112A/B/C initiating platform ESD
3. 001-PZALL-DH on individual well flowlines initiating platform USD during normal operations (ESD during SIPROD)
",5B,Review SIPROD philosophy and evaluate the necessity of escalating USD to ESD,5B,PRW,Process FEED,Process,,13/7/2021,Pressure,,No/Less 
